session_type,title,speaker_name,designation,organisation,description,speaker_image,display
Talks,Atlas of Intangibles,Priti,Information Experience Designer,,"In *Space and Place*, Tuan (1977, p.18) notes that “... [a] place achieves concrete reality when our experience of it is total, that is through all the senses”. Our personal memories of a place are situated in fleeting sensory experiences – the waft of the petrichor, bird songs scoring the backgroun",,true
Talks,"Beyond the Surface: Gender,Economics and Data Narratives in Public Media",Ambika,,,"This talk explores the theme of how economic and financial data is visualized and narrated in public media, and how gendered realities are often concealed in the process. Common gender factors such as labor force participation, income, growth, and financial inclusion are often presented as merely fa",,true
Talks,"New maps for BMTC Majestic: bringing data, design and government together",Shubhra,Creative Lead,Bengawalk,"What is this talk about? Recently I worked with BMTC, WRI India and Villgro at Bengawalk to redesign the 20-year-old maps at Bengaluru's most iconic bus station, Majestic. Majestic, the heart of the city's transit system, has 300+ bus routes, 36 platforms, a railway station, and now a metro interch",,true
Talks,Creating Hex Maps for India,Akshar Niranjan,Applied Data Fellow,University of Chicago,"My talk is about visualizing geography, India's states in particular. I want to re-introduce maps where they assign equal visual space to each state.  I want people to explore how creating and using alternative map designs, they can challenge some visual biases that they may unknowingly hold. By g",,true
Talks,"Building Composable Platform React Charts ",Ambika,Visualization Engineer,Atlassian,"Building web charts that are flexible, maintainable, and consistent is a challenge whenever visualization systems need to scale across products, teams, or entire platforms. Large-scale enterprise environments, with their diverse workflows, data requirements, and design standards, highlight the need ",,true
Talks,,,,,,,
Dialogues,Is it all Good Vibes Only? The Ch(art) of Visualising Data with Vibe Coding,Surbhi,"Data journalist, Data viz-ard",Independent,"With large language models, coding has changed, and so has data visualisation.   “The hottest new programming language is English”, says Andrej Karpathy, who coined the term vibe coding. Since 2025, interest in the term has surged globally (https://tinyurl.com/ykff2bua). Anywhere you look, charts,",,true
Dialogues,When Research Meets Decisions: A Discussion About Using Qualitative Data at Work,"Akshay ",Co-founder & Director,Ooloi Labs,"This session is a facilitated open conversation for practitioners who work with user feedback, research, or qualitative data inside organisations. Rather than a presentation, the goal is to create a space where participants can compare real experiences of how insights actually travel — or fail to tr",,true
Dialogues,,,,,,,
Workshop,"Observe, Collect, Map",Priti,Information Experience Designer,,"In this ""walkshop"", I will lead a group of participants on a data dérive, focused on documenting the neighbourhood from a sensory perspective.  We will collectively observe and map the sensory environment around us using visual ethnography and 'score-based' data walks.  With observations recorded,",,true
Workshop,Storytelling with Data – Designing Persuasive Visual Narratives,Shaurabh,Assistant Professor,Azim Premji University,"Workshop Title: Storytelling with Data – Designing Persuasive Visual Narratives (3 hours)  Shaurabh Anand, Gopi Sankar G  This workshop explores how organisations, researchers, students, and community members can transform data analysis into persuasive, audience-centred narratives. Across sector",,true
Workshop,Wear Thinking Hats: Visualizing Data with CogniLense,Siddharth,CEO,Monsoonfish,"You’re in a room with people, a dashboard on the screen, and a decision to make. The numbers are the same for everyone. And yet, within minutes, you have five different interpretations, five different “obvious” next steps, and one familiar question floating around—“How are you seeing this?”  Becau",,true
Workshop,,,,,,,
Exhibition,Communicating Data for Clean Air Awareness,Sai Krishna,Research Associate,Urban Emissions Info LLP,,,true
Exhibition,Puddle Beneath the Plate,Shreya,Student,"National Institute of Design, Bengaluru",,,true
Exhibition,The Knowledge Gap: Mapping India’s Climate Consciousness,Saumya,Founder and Creative Director,From&To,,,true
Exhibition,Waterscapes of Bengaluru,Madhuri,Trustee,"Paani Earth Foundation ",,,true
Exhibition,,,,,,,
