start,end,session,show,facilitator,link,duration,type,icon,bgFill,audience,room,location,day
08:00,09:00,Registration,TRUE,,,60 mins,other,,bg-viz-grey,,Audi,BIC,conference
09:00,09:15,Opening Address,TRUE,,,15 mins,other,,bg-viz-grey,,Audi,BIC,conference
09:15,09:30,Djembe Solo,TRUE,Ashok Kumar,https://jembeashok.com,15 mins,other,,bg-viz-grey,,Audi,BIC,conference
09:30,10:00,The data is here. But whom is it serving?,TRUE,Rukmini S,https://hasgeek.com/VizChitra/2025/sub/putting-the-data-in-data-viz-T8JzpVLF6VruwBTE6rP8zR,30 mins,Keynote,keynote,bg-viz-pink,Public Data,Audi,BIC,conference
10:00, 10:30,Setting the Context: How Data Journalism is Redefining Print,TRUE,Srinivasan Ramani,https://hasgeek.com/VizChitra/2025/sub/setting-the-context-how-data-journalism-is-redefin-QeX3UqdyBWupywXLwe3SUr,30 mins,Standard,standard,bg-viz-orange,NewsRoom,Audi,BIC,conference
10:30, 11:00,Sponsored Talk — Standard — Nutanix,TRUE,Hardik,???,30 mins,Sponsored,sponsored,bg-viz-teal,???,Audi,BIC,conference
11:00, 11:30,Tea Break,FALSE,,,,Break,,,,Audi,BIC,conference
11:30, 12:00,The Eyes Have It: Understanding Perception-Driven Data Visualisation,TRUE,Prasanta,https://hasgeek.com/VizChitra/2025/sub/the-eyes-have-it-understanding-perception-driven-d-2aERpLPse53SfYjSYW5XFi,30 mins,Standard,standard,bg-viz-orange,NewsRoom,Audi,BIC,conference
12:00,12:15,"The ATCGs of India’s Public Health Genome: A Visual Story of Anomalies, Trajectories, Correlations and Geographies",TRUE,Saket Choudhary,https://hasgeek.com/VizChitra/2025/sub/the-atcgs-of-indias-public-health-genome-a-visual-WHHeaYvzwyrEDGUhqeC8n5,15 mins,Lightning,lightning,bg-viz-yellow,Public HealthCare,Audi,BIC,conference
12:15, 12:45,Sponsored Talk — Standard — Lilly,TRUE,???,???,30 mins,Sponsored,sponsored,bg-viz-teal,Private HealthCare,Audi,BIC,conference
12:45, 14:00,Lunch Break,FALSE,,,,Break,,,,Audi,BIC,conference
14:00, 14:30,Moving Data: Climate Stripes in Motion and Emotion,TRUE,Aditi Bhat,https://hasgeek.com/VizChitra/2025/sub/moving-data-climate-stripes-in-motion-and-emotion-5xDVBA3JB3Xd6zU5TLUbqK,30 mins,Standard,standard,bg-viz-orange,Physicalization,Audi,BIC,conference
14:30, 14:45,Making Sense of Stories: Structuring Qual Data at Scale,TRUE,Yashna,https://hasgeek.com/VizChitra/2025/sub/making-sense-of-stories-structuring-qual-data-at-s-MWBidJxMGVKyxum8i1cEhr,15 mins,Lightning,lightning,bg-viz-yellow,Qualitative,Audi,BIC,conference
14:45, 15:15,"PANEL with Kavitha, Nutanix",TRUE,Sponsors,???,30 mins,Panel,panel,bg-viz-teal,Dashboard,Audi,BIC,conference
15:15, 15:30,The Invisible Graph: Leveraging AI to make data visualization accessible,TRUE,Sabhayata,https://hasgeek.com/VizChitra/2025/sub/the-invisible-graph-leveraging-ai-to-make-data-vis-SrUaS5bWXe3SGbwmfHeyL9,15 mins,Lightning,lightning,bg-viz-yellow,Accessibiity AI,Audi,BIC,conference
15:30, 16:00,Tea Break,FALSE,,,,Break,,,,Audi,BIC,conference
16:00, 16:15,"The UX of Charts: Get the Insight Across, Every Time",TRUE,Vikram Nayak,https://hasgeek.com/VizChitra/2025/sub/the-ux-of-charts-get-the-insight-across-every-time-DrGYcthTdJvPT3KvPBCCMj,15 mins,Lightning,lightning,bg-viz-yellow,AI & VIS,Audi,BIC,conference
16:15, 16:45,Data Design by Dialogue: Visualizing Data with LLMs,TRUE,S Anand,https://hasgeek.com/VizChitra/2025/sub/visualizing-data-with-llms-EX3YtVF1mqSqnxY5LAtuRE,30 mins,Keynote,keynote,bg-viz-pink,AI & VIS,Audi,BIC,conference
16:45, 17:00,Closing remarks,TRUE,,,15 mins,other,,bg-viz-grey,,Audi,BIC,conference
08:00, 09:00,Registration,TRUE,,,60 mins,other,,bg-viz-grey,,Hall 1,BIC,conference
09:00, 09:15,,FALSE,,,15 mins,Empty,,,,Hall 1,BIC,conference
