name,role,bluesky,instagram,twitter,linkedin,collection,analysis,coding,designing,narrating,strength,image,order,xOffset,yOffset,scale
Annapurani Vaidyanathan ,"Lead, Sales Reporting & Analytics, TransUnion",,,https://x.com/annapurani93,https://www.linkedin.com/in/annapurani-vaidyanathan,5,5,4,4,5,Analyzing data,annapurani.jpg,10.5,,26,
Divya Ribeiro,Designer at Revisual Labs,,https://www.instagram.com/divyaribeiro/,https://x.com/DivyaRibeiro,,4,4,4,5,5,Designing visualizations,divya.jpg,100,11,-79,1.2
Rukmini S,"Founder & Director, Data For India",,https://www.instagram.com/rukmini.writes/,https://x.com/Rukmini,https://www.linkedin.com/in/rukmini-s-553483b9/,2,5,3,4,5,Narrating insights,rukmini.jpg,4,,,
Urmila,"Data visualization developer, Lilly",,https://www.instagram.com/vizcrazy,,,5,5,5,4,4,Coding visualizations,urmila.jpg,100,,-8,0.8
Hamsa Ganesh,Designer,,https://www.instagram.com/36truths/,https://x.com/hamganesh,,4,5,4,4,5,Analyzing data,hamsa.jpg,7,,10,1.1
Rashi Shah,Graphic designer,,https://www.instagram.com/rashi_tries/,,https://www.linkedin.com/in/rashi-shah-2a382a1a9/,4,3,2,5,5,Designing visualizations,rashi.jpg,100,,,
Kashvi Bansal,Editorial Designer at The Ken,,https://www.instagram.com/kashvi_bansal/,https://x.com/kashviibansal,linkedin.com/in/kashvibansal,4,5,4,5,4,Designing visualizations,kashvi.jpg,10.5,9,30,1.45
Ipsa Jain,Science communicator,,https://www.instagram.com/ipsawonders/,,,5,5,5,4,5,Analyzing data,ipsa.jpg,11,6,16,1.3
Anand Katakam,Graphics editor with Thomson Reuters,,,https://x.com/anandkatakam,,5,5,4,5,5,Narrating insights,anandk.jpg,12,14,-47,1.8
Surbhi Bhatia,"Data Journalist, Independent",https://bsky.app/profile/surbhaai.bsky.social,,https://x.com/surbhaai,https://www.linkedin.com/in/surbhi-bhatia-17763b88/,5,5,5,5,5,Analyzing data,surbhi.jpg,13,,,0.9
Schubert de Abreu,Data Visualization Developer at Revisual Labs,https://bsky.app/profile/schubert-da.bsky.social,https://www.instagram.com/schu.draws.stuff/,https://x.com/schubertda1,,3,4,5,5,4,Coding visualizations,schubert.jpg,100,,3,0.75
Prakriti,"Data Journalist, The Secretariat",,https://www.instagram.com/prakriti.bakshi,https://x.com/bakshi_prakriti,https://www.linkedin.com/in/prakriti-bakshi-data/,4,5,4,5,5,Narrating insights,prakriti.jpg,100,-7,-17,1.1
Gurman Bhatia,"Founder, Revisual Labs",https://bsky.app/profile/chartwaali.bsky.social,https://www.instagram.com/chartwaali,,https://www.linkedin.com/in/gurmanbhatia/,5,5,4,5,5,Narrating insights,gurman.jpg,1,,,
Rasagy Sharma,"Sr. Design Manager, Capital One",,,https://x.com/rasagy,,4,3,4,5,5,Designing visualizations,rasagy.jpg,2,,,
Nithya Subramanian,Lead Designer @ PoppadomCo,,,,https://www.linkedin.com/in/nithyas/,2,4,4,5,4,Designing visualizations,nithya.jpg,9,,,
Arpit,"Audience and Product Lead, Data For India",,https://www.instagram.com/thedataareclean/,https://x.com/thedataareclean,https://www.linkedin.com/in/thedataareclean/,5,5,4,5,5,Narrating insights,arpit.jpg,8,,,
Amit Kapoor,Educator @ amitkaps,,https://www.instagram.com/amitkaps/,http://x.com/amitkaps,https://www.linkedin.com/in/amitkaps/,5,5,5,5,5,Narrating insights,amit.jpg,3,,15,
Apoorv,Head of Data Operations at Data For India,,,,https://www.linkedin.com/in/apoorvanand,5,5,5,4,4,Analyzing data,apoorv.jpg,100,97,-65,2.1
Kavya Sukumar,"Principal & CTO, Lightrock India",,,https://x.com/kavyasukumar,,4,5,5,5,5,Coding visualizations,kavya.jpg,5,21,32,1.15
Aman Bhargava,"Developer, Revisual Labs",https://bsky.app/profile/aman.bh,https://instagram.com/thedivtagguy,https://twitter.com/thedivtagguy,,5,5,5,4,4,Coding visualizations,aman.jpg,100,3,-7,0.9
Zainab Bawa,COO at Hasgeek,,,https://x.com/zainabbawa,,1,4,1,1,1,Analyzing data,zainab.jpg,5.5,3,20,0.75
Poojil,Climate comms @ CEEW,,https://www.instagram.com/todayindata/,,https://www.linkedin.com/in/poojil-t-123931144/,5,4,4,5,5,Designing visualizations,poojil.jpg,10,-18,10,1.1
Karan Manral,Content Strategy - Independent,,https://www.instagram.com/kmanral13/,https://x.com/kmanral13,,1,4,1,1,4,Narrating insights,karan.jpg,100,5,8,0.8
Samhita Chilukuri,Visual Designer at Studio Sorted,,https://www.instagram.com/designbysamhita/,,http://linkedin.com/in/samhitachilukuri,4,5,3,4,2,Collecting data,samhita.jpg,100,-20,20,
Shubhangi Bhatia,"Data Engineer, Swift",,,,https://www.linkedin.com/in/shubhangi-bhatia-88aa0a11a/,4,4,5,4,4,Coding visualizations,shubhangi.jpg,100,,25,
Eshanika Narayan,"Product Design Student at MIT ID, Pune",,,,https://www.linkedin.com/in/eshanika-narayan-16a853213/,4,4,3,5,5,Designing visualizations,eshanika.jpg,100,,15,
Aabha Joshi,Information Designer,,,,,5,5,4,5,5,Designing visualizations,aabha.jpg,100,-20,,
Kirti Vardhan Rathore,Deputy Director - UIDAI,,,,https://www.linkedin.com/in/kirtivardhanrathore,5,5,3,5,5,Narrating insights,kirti.jpg,100,,10,
Vaidehi Shirsath,"Visual Designer, Social Innovation Studio",,,,https://www.linkedin.com/in/vaidehi-shirsath/,3,4,3,5,5,Narrating insights,vaidehi-s.jpg,100,,5,
Simleen,Student at MIT Institute of Design,,,,https://www.linkedin.com/in/simleen-kaur-2222b7215/,4,5,4,5,5,Analyzing data,simleen.jpg,100,,25,
Sushmita Gangalapadu,"Instructional Designer, Quizizz",,https://www.instagram.com/zhuzhmita/,,https://www.linkedin.com/in/sushmitagangalapadu/,4,4,4,5,5,Designing visualizations,sushmita.jpg,100,20,-5,1.2
Aditi Bhat,"Founder and Chief Spinner, Spinfinity",,https://instagram.com/adt.bot,https://x.com/spinfinity_adt,https://www.linkedin.com/in/aditibhat7,4,5,4,5,5,Designing visualizations,aditi.jpg,100,,,
Vaidehi Vishwasrao,Freelance UX Designer,,https://www.instagram.com/vaid_ville/,,,4,3,4,3,5,Narrating insights,vaidehi-v.jpg,100,,10,
Animesh Bajia,"Product Designer and Clinical Researcher, Narayana Healthcare",,https://www.instagram.com/animesh_art/,,,2,5,4,5,5,Analyzing data,animesh.jpg,100,,,1.2
Swathi Singh,Designer at Revisual Labs,,,,https://www.linkedin.com/in/swathisingh/,2,4,4,5,5,Designing visualizations,swathi.jpg,100,,20,0.9
Nidhi Joshi,Hasgeek,,,,https://www.linkedin.com/in/therootedroamer/,5,5,5,5,5,Designing visualizations,nidhi.jpeg,100,,,
Kiran Jonnalagadda,"Cofounder, Hasgeek",,,,https://www.linkedin.com/in/kiranjonna/,5,5,5,5,5,Coding visualizations,kiran.jpeg,100,,,
